,STARTDATE,ELAPSED,USERID,EVENTID,EVENT_DESC,WORKSPACEID,WS_DESC,TRANSACTIONTYPE,CORE_ID,HR_ORGANIZATION,LOCATION,USER_ROLE,MAG_CODE,ELAPSED_normalized,score
6694,2019-05-13 06:51:26,2.368,17548761,x84sljJzv,Team Allocation, ,Exception,1,NXF35513,HPMS.STI,AT-GRK01-s1,<No Rights>,RC9,0.013440673933993964,3.1903468893
6711,2019-05-13 07:27:19,1.418,8928343,x84sljJzv,Team Allocation, ,Exception,1,NXA04432,HPMS.STI,AT-GRK01-s1,_PM+RM,RC9,0.007796219551486984,2.266690192
6742,2019-05-13 08:40:17,3.885,8700775,x84sljJzv,Team Allocation, ,Exception,1,NXF23910,HPMS.STI,AT-GRK01-s1,_Resource Manager,RC9,0.011123882950261507,2.8975395331
6786,2019-05-13 09:47:37,3.953,8935710,x84sljJzv,Team Allocation, ,Exception,1,FRQ05146,"HPMS.Kechichian, Kevork - NXF53803",FR-CFR02-s1,_PMO+RM,R25,0.007901235979056726,2.2893195507
6843,2019-05-13 12:21:37,6.035,58002,x84sljJzv,Team Allocation, ,Exception,0,R30132,HPMS.IDA,FR-TLS02,_Resource Manager,RRA,0.00835559276772581,2.3897705242
6847,2019-05-13 12:35:48,0.544,60875,x84sljJzv,Team Allocation, ,Exception,1,B54537,"HPMS.Kechichian, Kevork - NXF53803",FR-MGI01,_Resource Manager,RMC,0.01100457857336255,2.8811051722
7047,2019-05-14 14:23:14,1.176,56603,x84sljJzv,Team Allocation, ,Exception,1,RA0937,"HPMS.Kechichian, Kevork - NXF53803",US-AUS01,_PMO+RM,RP2,0.01302275141611438,3.1432806188
7119,2019-05-15 12:34:33,1.442,8942571,x84sljJzv,Team Allocation, ,Exception,1,NLV10891,HPMS.AAA,NL-HTC01-s1,_PMO+RM,R16,0.02881164982236507,4.2207981426
7146,2019-05-15 17:48:21,4.194,61274,x84sljJzv,Team Allocation, ,Exception,1,B20832,"HPMS.Kechichian, Kevork - NXF53803",BR-CPQ01,_Resource Manager,RMC,0.06493087132915792,4.9563884953
7257,2019-05-16 14:56:39,0.752,8686154,x84sljJzv,Team Allocation, ,Exception,1,DEP08626,HPMS.STI,DE-HBG02,_PM+RM,RC9,0.01081526324475043,2.8517476307
7270,2019-05-16 18:03:03,0.873,60790,x84sljJzv,Team Allocation, ,Exception,1,RA0857,HPMS.MICR,US-AUS01,_PMO+RM,RMC,0.012332643463513223,3.0579270505
7329,2019-05-17 07:00:46,2.007,7631998,x84sljJzv,Team Allocation, ,Exception,1,NXP73005,HPMS.AAA,AT-GRK01-s1,_PMO+RM,R62,0.025899765749070748,4.1093182074
7340,2019-05-17 08:08:33,1.131,61763,x84sljJzv,Team Allocation, ,Exception,1,B17931,HPMS.MICR,CN-SHA02,_Resource Manager,RMC,0.009199296175616045,2.5732869644
7368,2019-05-17 10:38:10,5.248,63126,x84sljJzv,Team Allocation, ,Exception,1,B37350,T&O.TO-PT,RU-MOW02,_PM+RM+Portfolio,RPT,0.0676941607294284,4.9862046705
7384,2019-05-17 11:49:42,0.865,3265355,x84sljJzv,Team Allocation, ,Exception,1,NXP32477,HPMS.STI,AT-GRK01-s1,_PM+RM,RC9,0.009210726535079417,2.575323625
7659,2019-05-21 07:08:23,0.621,57202,x84sljJzv,Team Allocation, ,Exception,1,B36492,"HPMS.Kechichian, Kevork - NXF53803",IN-NDA02,_Resource Manager,RP2,0.01079811770555537,2.8493549394
7663,2019-05-21 07:38:25,0.942,22944023,x84sljJzv,Team Allocation, ,Exception,1,NXF38695,HPMS.STI,AT-GRK01-s1,_Resource Manager,RC9,0.00807840655073901,2.3272639128
7733,2019-05-21 14:26:45,1.719,60111,x84sljJzv,Team Allocation, ,Exception,1,B08502,HPMS.MICR,RO-BUH03,_PM+RM,RMC,0.4324919398105847,5.7293404421
