,STARTDATE,ELAPSED,score
54918,2019-04-12 14:49:00,0.043114,1.7667114404
54926,2019-04-12 14:57:00,0.06971849999999999,2.8057284681
55023,2019-04-12 16:34:00,0.03472716666666666,1.5349677222
55029,2019-04-12 16:40:00,0.03711933333333333,1.6039879277
55047,2019-04-12 16:58:00,0.037124333333333336,1.6041097656
55071,2019-04-12 17:22:00,0.22076966666666664,5.9947852023
55229,2019-04-12 20:00:00,0.04761383333333333,1.949352658
55230,2019-04-12 20:01:00,0.08174966666666666,3.2056411366
55235,2019-04-12 20:06:00,0.03708333333333333,1.6020568856
55381,2019-04-12 22:32:00,0.04760916666666666,1.9492596742
58225,2019-04-14 21:56:00,0.04005366666666667,1.7026259551
58403,2019-04-15 00:54:00,0.0696555,2.80381165
58722,2019-04-15 06:13:00,0.04038283333333333,1.7032702414
58772,2019-04-15 07:03:00,0.04511766666666667,1.8528870384
58773,2019-04-15 07:04:00,0.04158283333333333,1.7164534011
58775,2019-04-15 07:06:00,0.04334916666666667,1.7739253438
58798,2019-04-15 07:29:00,0.0355775,1.5475336337
58799,2019-04-15 07:30:00,0.07950116666666666,3.1607905782
58800,2019-04-15 07:31:00,0.03655566666666667,1.5686416321
58831,2019-04-15 08:02:00,0.043199666666666664,1.7689131582
58832,2019-04-15 08:03:00,0.03498916666666667,1.5317831221
58859,2019-04-15 08:30:00,0.054598999999999995,2.139543529
58862,2019-04-15 08:33:00,0.03535933333333333,1.5369681344
58865,2019-04-15 08:36:00,0.066861,2.6792907657
58868,2019-04-15 08:39:00,0.03729933333333333,1.6491968321
58869,2019-04-15 08:40:00,0.043678666666666664,1.7789262626
58879,2019-04-15 08:50:00,0.03715566666666666,1.6075373628
58881,2019-04-15 08:52:00,0.060929833333333336,2.3957416418
58912,2019-04-15 09:23:00,0.2771788333333333,6.5443370795
59014,2019-04-15 11:05:00,0.06961266666666666,2.8025036552
59049,2019-04-15 11:40:00,0.042653666666666666,1.7429054148
59050,2019-04-15 11:41:00,0.04072166666666667,1.7074334483
59080,2019-04-15 12:11:00,0.04696816666666667,1.9404644085
59102,2019-04-15 12:33:00,0.046625,1.9399816606
59130,2019-04-15 13:01:00,0.06604633333333333,2.624047869
59194,2019-04-15 14:05:00,0.034721999999999996,1.5350334843
59219,2019-04-15 14:30:00,0.035672,1.5470835073
59225,2019-04-15 14:36:00,0.041958166666666664,1.7202391741
59244,2019-04-15 14:55:00,0.0599335,2.340707715
59258,2019-04-15 15:09:00,0.11453783333333332,4.2563757483
59260,2019-04-15 15:11:00,0.06988899999999999,2.8108737576
59394,2019-04-15 17:25:00,0.035373999999999996,1.5363794535
59438,2019-04-15 18:09:00,0.034757166666666665,1.5345671862
59461,2019-04-15 18:32:00,0.035152166666666665,1.5376168709
59476,2019-04-15 18:47:00,0.14351883333333335,4.8557318371
59588,2019-04-15 20:39:00,0.04650066666666667,1.9393073226
59613,2019-04-15 21:04:00,0.04534783333333333,1.8573388716
59689,2019-04-15 22:20:00,0.10103133333333333,3.8843384766
60191,2019-04-16 06:42:00,0.042201333333333334,1.7290255817
60405,2019-04-16 10:16:00,0.03771516666666667,1.6603160084
60513,2019-04-16 12:04:00,0.055564,2.1546449962
60534,2019-04-16 12:25:00,0.034533499999999995,1.5067675873
60540,2019-04-16 12:31:00,0.038566166666666665,1.691969309
60553,2019-04-16 12:44:00,0.050893499999999994,2.0215670332
60563,2019-04-16 12:54:00,0.054816166666666666,2.1459879693
60628,2019-04-16 13:59:00,0.211021,5.8856904706
60639,2019-04-16 14:10:00,0.038323499999999996,1.6887207872
60645,2019-04-16 14:16:00,0.039828833333333334,1.7148685525
60743,2019-04-16 15:54:00,0.0359315,1.5454491216
60754,2019-04-16 16:05:00,0.04568816666666667,1.8713656769
60783,2019-04-16 16:34:00,0.06104816666666666,2.3996622445
61817,2019-04-17 09:48:00,0.03728933333333333,1.6491049842
61870,2019-04-17 10:41:00,0.03679366666666667,1.5952587397
61898,2019-04-17 11:09:00,0.07606233333333333,2.9999056794
61906,2019-04-17 11:17:00,0.0480615,1.9532108264
61999,2019-04-17 12:50:00,0.039612666666666664,1.7135703174
62095,2019-04-17 14:26:00,0.16229916666666666,5.2019981998
62106,2019-04-17 14:37:00,0.041077833333333334,1.7089743314
62126,2019-04-17 14:57:00,0.041299499999999996,1.7193053125
62139,2019-04-17 15:10:00,0.10347683333333332,3.9451007958
62281,2019-04-17 17:32:00,0.07486233333333332,2.9883061971
62397,2019-04-17 19:28:00,0.06384949999999999,2.4952674836
62478,2019-04-17 20:49:00,0.0450175,1.8426824095
63203,2019-04-18 08:54:00,0.06428099999999999,2.5092116067
63204,2019-04-18 08:55:00,0.03475983333333333,1.5345299925
63211,2019-04-18 09:02:00,0.12505616666666666,4.5066722645
63214,2019-04-18 09:05:00,0.04457216666666666,1.8554791678
63217,2019-04-18 09:08:00,0.06008516666666667,2.346262523
