,STARTDATE,ELAPSED,ELAPSED_normalized,score
89966,2019-03-12 11:38:55,1.208,0.008037804297232571,2.0606408449
90041,2019-03-12 11:49:38,4.996,0.013246366335530026,3.0257578166
90049,2019-03-12 11:52:14,1.514,0.009832765300573212,2.4169579681
90114,2019-03-12 11:59:20,0.836,0.008525558096409066,2.1629305861
90120,2019-03-12 11:59:59,2.137,0.00890792464811806,2.2358357433
90153,2019-03-12 12:02:56,3.415,0.1189166731407764,5.8659141315
90155,2019-03-12 12:03:25,2.551,0.027919513867543093,4.3642262253
90188,2019-03-12 12:06:35,0.345,0.0396769475529554,4.8468720117
90210,2019-03-12 12:08:23,1.957,0.00842219752677748,2.1442387503
90291,2019-03-12 12:13:05,1.943,0.008183725101418337,2.0873931427
90299,2019-03-12 12:13:32,1.792,0.008930893663591746,2.2393197439
90357,2019-03-12 12:16:00,3.736,0.15251426274527025,6.012027949
90625,2019-03-12 12:31:43,6.299,0.0081580538488301,2.0828141905
90639,2019-03-12 12:32:41,0.914,0.00898493840588277,2.2484959475
90777,2019-03-12 12:41:39,1.656,0.011983070484477335,2.8136760313
90824,2019-03-12 12:46:16,2.371,0.015290608712688017,3.3044570106
90837,2019-03-12 12:47:40,1.403,0.012918720085390693,2.9762202766
90840,2019-03-12 12:48:29,1.229,0.01719433475988934,3.5267784309
90856,2019-03-12 12:49:18,1.069,0.008020239755987988,2.0581603511
90857,2019-03-12 12:49:18,11.421,0.014157020243133783,3.162816258
90860,2019-03-12 12:49:37,4.128,0.01074004141178378,2.6058147373
90889,2019-03-12 12:50:33,1.376,0.008486375658248073,2.1569732512
90891,2019-03-12 12:50:40,3.713,0.008018888637430712,2.0579671011
90932,2019-03-12 12:52:09,0.973,0.008354641598913701,2.127677304
90936,2019-03-12 12:52:49,3.092,0.009020067488371936,2.2541883005
90939,2019-03-12 12:52:54,2.756,0.011569628205951003,2.7511314887
90944,2019-03-12 12:53:24,1.63,0.008923462511526729,2.2382001863
90969,2019-03-12 12:55:04,4.932,0.008283032315378094,2.1139528917
90970,2019-03-12 12:55:10,11.81,0.010639383079266748,2.5890983323
91011,2019-03-12 12:57:42,0.416,0.010928522450523727,2.6366992477
91019,2019-03-12 12:59:01,2.339,0.008410037459762,2.1421776547
91056,2019-03-12 13:00:58,1.837,0.019511503085617003,3.7712442588
91058,2019-03-12 13:01:10,3.417,0.022783912231338518,4.0392626698
91086,2019-03-12 13:02:51,2.602,0.033777963931890115,4.6418333413
91107,2019-03-12 13:03:59,1.703,0.011553414783263695,2.7488621793
91121,2019-03-12 13:04:33,1.646,0.014685983158307183,3.2309758384
91143,2019-03-12 13:05:38,1.852,0.014552897980415537,3.2145057088
91210,2019-03-12 13:08:58,5.291,0.008346534887570048,2.1261001274
91213,2019-03-12 13:09:07,4.403,0.04728509614897434,5.0510183168
91231,2019-03-12 13:10:45,4.285,0.01520616380285829,3.2953472908
91255,2019-03-12 13:12:10,0.323,0.021294979581220803,3.9303868292
91257,2019-03-12 13:12:11,1.554,0.01412459339775917,3.1577244814
91259,2019-03-12 13:12:26,4.358,0.012126964610827188,2.8353084822
91260,2019-03-12 13:12:28,17.5,0.014446159614390764,3.1994004155
91274,2019-03-12 13:13:45,2.881,0.012222218469115118,2.8553128221
91280,2019-03-12 13:14:00,1.139,0.010435364177118132,2.5497787375
91295,2019-03-12 13:14:40,5.424,0.00931055797818619,2.3095726995
91296,2019-03-12 13:14:43,13.331,0.09349470192635728,5.6902559519
91307,2019-03-12 13:16:11,1.225,0.010954869262390601,2.6411629715
91326,2019-03-12 13:17:21,1.223,0.018177273510307342,3.6328081029
91340,2019-03-12 13:18:11,1.736,0.029888769164772285,4.4671452144
91344,2019-03-12 13:18:47,3.152,0.009184903952359559,2.2875280926
91347,2019-03-12 13:18:53,7.365,0.0089140046816258,2.2367658653
91354,2019-03-12 13:19:04,0.511,0.02014247545186471,3.828842353
91366,2019-03-12 13:19:41,1.804,0.008242498758659825,2.1057031427
91376,2019-03-12 13:20:08,0.728,0.06821730039756664,5.4244616771
