,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
2865,frozenset({'US-CHD01'}),"frozenset({'HPMS.RPS', '_PMO+RM', '6_or_more'})",0.08088567555354723,0.010317818948636842,0.007154691971682482,0.08845437616387336,8.572972311707376,0.006320128215782801,1.085718756332139
2866,"frozenset({'HPMS.RPS', '6_or_more', '_Program Manager'})",frozenset({'US-CHD01'}),0.019957824973640608,0.08088567555354723,0.006175628859768037,0.30943396226415093,3.8255718351428265,0.004561326704195661,1.3309579015208195
2867,"frozenset({'6_or_more', '_Program Manager', 'US-CHD01'})",frozenset({'HPMS.RPS'}),0.009263443289652055,0.07478535924084953,0.006175628859768037,0.6666666666666666,8.914400805639476,0.005482858925544171,2.7756439222774514
2868,"frozenset({'HPMS.RPS', '_Program Manager'})","frozenset({'6_or_more', 'US-CHD01'})",0.03185720741075463,0.022518451574032233,0.006175628859768037,0.1938534278959811,8.608648212718519,0.005458253877405058,1.212535762416963
2869,"frozenset({'HPMS.RPS', '6_or_more'})","frozenset({'_Program Manager', 'US-CHD01'})",0.031104081940051213,0.019731887332429584,0.006175628859768037,0.19854721549636803,10.062251631147994,0.005561886619348288,1.2231139895217722
2870,"frozenset({'_Program Manager', 'US-CHD01'})","frozenset({'HPMS.RPS', '6_or_more'})",0.019731887332429584,0.031104081940051213,0.006175628859768037,0.3129770992366412,10.062251631147994,0.005561886619348288,1.4102818362872587
2871,"frozenset({'6_or_more', 'US-CHD01'})","frozenset({'HPMS.RPS', '_Program Manager'})",0.022518451574032233,0.03185720741075463,0.006175628859768037,0.27424749163879597,8.608648212718517,0.005458253877405058,1.3339847695123705
2872,frozenset({'HPMS.RPS'}),"frozenset({'6_or_more', '_Program Manager', 'US-CHD01'})",0.07478535924084953,0.009263443289652055,0.006175628859768037,0.08257804632426988,8.914400805639476,0.005482858925544171,1.0799137220783486
2873,frozenset({'US-CHD01'}),"frozenset({'HPMS.RPS', '6_or_more', '_Program Manager'})",0.08088567555354723,0.019957824973640608,0.006175628859768037,0.07635009310986964,3.8255718351428265,0.004561326704195661,1.0610537257845867
2874,"frozenset({'6_or_more', 'HPMS.SEN', '_Program Manager'})",frozenset({'US-CHD01'}),0.004066877541798464,0.08088567555354723,0.002786564241602651,0.6851851851851852,8.471032484998965,0.002457612104240733,2.9195396188299094
2875,"frozenset({'6_or_more', '_Program Manager', 'US-CHD01'})",frozenset({'HPMS.SEN'}),0.009263443289652055,0.021388763367977105,0.002786564241602651,0.3008130081300813,14.064067330814154,0.002588430645107608,1.3996416523923116
2876,"frozenset({'HPMS.SEN', '6_or_more', 'US-CHD01'})",frozenset({'_Program Manager'}),0.0031631269769543608,0.3487724054827534,0.002786564241602651,0.8809523809523809,2.5258660579325665,0.0016833528370028888,5.47031179394487
